 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        sprtrn      spindx
19270405      0.004140       .               .  
19270406      0.000276       .               .  
19270407      0.001557       .               .  
19270408      0.004243       .               .  
19270409      0.000407       .               .  
19270411      0.002567       .               .  
19270412     -0.003139       .               .  
19270413      0.003286       .               .  
19270414      0.001384       .               .  
19270416      0.002369       .               .  
19270418     -0.000557       .               .  
19270419      0.001076       .               .  
19270420      0.003318       .               .  
19270421      0.005326       .               .  
19270422      0.002767       .               .  
19270423     -0.003021       .               .  
19270425     -0.015292       .               .  
19270426      0.005388       .               .  
19270427     -0.002215       .               .  
19270428     -0.011291       .               .  
19270429      0.006170       .               .  
19270430     -0.000880       .               .  
19270502      0.002605       .               .  
19270503      0.007939       .               .  
19270504      0.007380       .               .  
19270505      0.002867       .               .  
19270506      0.003161       .               .  
19270507      0.003837       .               .  
19270509      0.001416       .               .  
19270510      0.000371       .               .  
19270511     -0.003427       .               .  
19270512     -0.000937       .               .  
19270513      0.005798       .               .  
19270514      0.000583       .               .  
19270516     -0.006653       .               .  
19270517      0.005214       .               .  
19270518      0.006618       .               .  
19270519      0.001995       .               .  
19270520      0.006046       .               .  
19270521      0.001871       .               .  
19270523      0.001302       .               .  
19270524     -0.001726       .               .  
19270525      0.002411       .               .  
19270526      0.002037       .               .  
19270527      0.004676       .               .  
19270528      0.001743       .               .  
19270531      0.003515       .               .  
19270601      0.004143       .               .  
19270602      0.000989       .               .  
19270603     -0.010333       .               .  
19270604      0.005088       .               .  
19270606      0.004398       .               .  
19270607     -0.003744       .               .  
19270608      0.002570       .               .  
19270609      0.000182       .               .  
19270610     -0.003577       .               .  
19270611     -0.000672       .               .  
19270614     -0.016542       .               .  
19270615      0.007675       .               .  
19270616      0.007492       .               .  
19270617      0.001421       .               .  
19270618     -0.001852       .               .  
19270620     -0.001566       .               .  
19270621     -0.002909       .               .  
19270622      0.001242       .               .  
19270623     -0.007725       .               .  
19270624      0.001931       .               .  
19270625     -0.001342       .               .  
19270627     -0.011114       .               .  
19270628      0.002993       .               .  
19270629      0.000509       .               .  
19270630      0.000367       .               .  
19270701      0.006433       .               .  
19270702      0.005705       .               .  
19270705      0.009470       .               .  
19270706      0.005895       .               .  
19270707     -0.001918       .               .  
19270708     -0.001520       .               .  
19270709      0.001414       .               .  
19270711      0.004725       .               .  
19270712      0.004533       .               .  
19270713      0.002393       .               .  
19270714      0.004560       .               .  
19270715      0.002290       .               .  
19270716      0.000733       .               .  
19270718      0.001901       .               .  
19270719      0.004540       .               .  
19270720      0.004964       .               .  
19270721      0.000468       .               .  
19270722     -0.001104       .               .  
19270723      0.001644       .               .  
19270725      0.004732       .               .  
19270726      0.003809       .               .  
19270727      0.001581       .               .  
19270728      0.003050       .               .  
19270729      0.004845       .               .  
19270730      0.005953       .               .  
19270801      0.006614       .               .  
19270802      0.009027       .               .  
19270803     -0.008569       .               .  
19270804      0.008589       .               .  
19270805     -0.007225       .               .  
19270806     -0.002317       .               .  
19270808     -0.011062       .               .  
19270809      0.010021       .               .  
19270810      0.003468       .               .  
19270811     -0.009456       .               .  
19270812     -0.014298       .               .  
19270813      0.009217       .               .  
19270815      0.013853       .               .  
19270816      0.005423       .               .  
19270817      0.001886       .               .  
19270818      0.000995       .               .  
19270819      0.003748       .               .  
19270820      0.003334       .               .  
19270822      0.005264       .               .  
19270823      0.001171       .               .  
19270824      0.002571       .               .  
19270825      0.000992       .               .  
19270826      0.004484       .               .  
19270827     -0.001034       .               .  
19270829      0.001171       .               .  
19270830      0.001139       .               .  
19270831     -0.005796       .               .  
19270901      0.008470       .               .  
19270902      0.006760       .               .  
19270903      0.005680       .               .  
19270906      0.009963       .               .  
19270907      0.005067       .               .  
19270908     -0.000931       .               .  
19270909     -0.005484       .               .  
19270910      0.004257       .               .  
19270912     -0.004524       .               .  
19270913      0.013117       .               .  
19270914      0.003457       .               .  
19270915      0.004965       .               .  
19270916      0.001131       .               .  
19270917     -0.002767       .               .  
19270919     -0.005467       .               .  
19270920      0.004688       .               .  
19270921     -0.001200       .               .  
19270922     -0.011843       .               .  
19270923      0.004719       .               .  
19270924      0.007921       .               .  
19270926     -0.010483       .               .  
19270927      0.002450       .               .  
19270928     -0.003686       .               .  
19270929      0.002000       .               .  
19270930      0.014108       .               .  
19271001      0.005389       .               .  
19271003      0.004169       .               .  
19271004     -0.003871       .               .  
19271005     -0.003317       .               .  
19271006      0.003631       .               .  
19271007     -0.008777       .               .  
19271008     -0.003508       .               .  
19271010     -0.006973       .               .  
19271011      0.001170       .               .  
19271013      0.008006       .               .  
19271014     -0.000254       .               .  
19271015     -0.000399       .               .  
19271017     -0.014490       .               .  
19271018      0.003989       .               .  
19271019     -0.010699       .               .  
19271020     -0.010598       .               .  
19271021     -0.007790       .               .  
19271022     -0.008031       .               .  
19271024      0.003315       .               .  
19271025      0.017958       .               .  
19271026      0.000491       .               .  
19271027     -0.004833       .               .  
19271028     -0.015538       .               .  
19271029     -0.004280       .               .  
19271031      0.008025       .               .  
19271101      0.000154       .               .  
19271102      0.011168       .               .  
19271103      0.011346       .               .  
19271104     -0.000640       .               .  
19271105      0.007067       .               .  
19271107      0.007355       .               .  
19271109     -0.010496       .               .  
19271110      0.003474       .               .  
19271111      0.011180       .               .  
19271112      0.003697       .               .  
19271114      0.006295       .               .  
19271115     -0.000916       .               .  
19271116     -0.000909       .               .  
19271117      0.001747       .               .  
19271118      0.006586       .               .  
19271119      0.002529       .               .  
19271121     -0.007248       .               .  
19271122      0.004339       .               .  
19271123      0.003463       .               .  
19271125      0.003207       .               .  
19271126      0.000192       .               .  
19271128     -0.008607       .               .  
19271129      0.006445       .               .  
19271130      0.007396       .               .  
19271201     -0.005488       .               .  
19271202      0.005191       .               .  
19271203      0.003966       .               .  
19271205     -0.004067       .               .  
19271206     -0.001655       .               .  
19271207     -0.005157       .               .  
19271208     -0.010489       .               .  
19271209      0.010858       .               .  
19271210     -0.000947       .               .  
19271212      0.004490       .               .  
19271213      0.004339       .               .  
19271214     -0.005549       .               .  
19271215      0.005891       .               .  
19271216      0.007856       .               .  
19271217     -0.001197       .               .  
19271219      0.003162       .               .  
19271220      0.001287       .               .  
19271221     -0.002256       .               .  
19271222      0.000770       .               .  
19271223      0.002795       .               .  
19271224      0.001730       .               .  
19271227      0.001453       .               .  
19271228     -0.006989       .               .  
19271229      0.003178       .               .  
19271230      0.002990       .               .  
19271231      0.003349       .               .  
19280103      0.002589       .               .  
19280104     -0.001863       .               .  
19280105     -0.008703       .               .  
19280106      0.006500       .               .  
19280107      0.001111       .               .  
19280109     -0.009861       .               .  
19280110     -0.007715       .               .  
19280111     -0.000334       .               .  
19280112      0.006297       .               .  
19280113      0.006997       .               .  
19280114     -0.007411       .               .  
19280116     -0.008496       .               .  
19280117      0.001207       .               .  
19280118     -0.002777       .               .  
19280119      0.006278       .               .  
19280120      0.005128       .               .  
19280121      0.002567       .               .  
